strain,gisaid_epi_isl,originating_lab,submitting_lab,authors
hCoV-19/Bahrain/CDL-550117342/2022,EPI_ISL_17081940,Communicable Disease Laboratory,Communicable Disease Laboratory,"Marhoon, A., AlHujairi, Z., AlTooq, M., Khamees, F., AlAnsari, W., AlAbbas, Z., Almoamen, G"
hCoV-19/Malaysia/MKAK_CV_22_85074/2022,EPI_ISL_15058616,National Public Health Laboratory,National Public Health Laboratory,"Yu Kie A/P Chem, Selvanesan A/L Sengol, Noriah Binti Mohd Yusof, Rehan Shuhada Binti Abu Bakar, Kamal Hisham Bin Kamarul Zaman, Muhammad Shahir Bin Ali, Muhamad Syamim Bin Roslan"
hCoV-19/USA/WY-WYPHL-21112832/2021,EPI_ISL_7379766,Wyoming Public Health Laboratory,Wyoming Public Health Laboratory,"Jim Mildenberger, Taylor Fearing, Channing Weber, Ashley Norberg, Chayse Rowley, Marley Goetz, Brian Dominguez, Elliot Thomasson, Sam Britz, Cari Sloma, Robert Petit, and Rob Christensen"
hCoV-19/Equatorial Guinea/32447/2020,EPI_ISL_648324,Laboratorio de Investigaciones de Baney,"University Hospital Basel, Clinical Bacteriology","Carlos Cortes, Claudia Daubenberger, Adrian Egli, Guillermo Garcia, Salome Hosch, Bonifacio Manguire Nlavo, Alfredo Mari, Maximilian Mpina, Elizabeth Nyakarungu, Diosdado Odjama Nseng Ada, Mitoha Ondo O Ayekaba, Tim Roloff, Tobias Schindler, Helena Seth-Smith, Madlen Stange, Philip Wonder Phiri"
hCoV-19/Belgium/AZDelta-2244-01064/2022,EPI_ISL_15813998,AZDelta,"AZ Delta Medical Laboratories in Roeselare, Belgium","Geert Martens, Dieter De Smet, Frederik Van Hoecke, Patrick Descheemaeker, on behalf of AZ Delta COVID-19 Genomics core (member of Genomic surveillance of SARS-CoV-2 in Belgium network)"
hCoV-19/Seychelles/SS10825/2022,EPI_ISL_15585782,Seychelles Public Health Laboratory,"KEMRI-Wellcome Trust Research Programme,Kilifi","Githinji G., Ochola I., Agoti C., Mohamed K.S., de Laurent Z., Mburu M.W., Morobe J., Ndwiga L. Makori T., Ongera E., Lambisia A. Nokes D J., Brigitte Pool, Jude Gedeon, Meggy Louange, Leon Biscornet"
hCoV-19/Mexico/TAM_LANGEBIO_IMSS_0052/2021,EPI_ISL_1351549,Centro de InvestigaciÃ³n BiomÃ©dica de Occidente (CIBO),Unidad de Genomica Avanzada,"Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah, Carlos F. Arias, Santiago Avila-Rios, Victor Hugo Borja-Aburto, Celia Boukadida, Juan Bautista Chale-Dzul , Jose Antonio Enciso-Moreno, Gloria Elena Espinoza-Ayala, Fernando Fontove-Herrera, Concepcion Grajales-Muniz, Ricardo Grande, Alfredo Herrera-Estrella, Carla Ivon Herrera-Najera, Pavel Isa, Brenda Irasema Maldonado-Meza, Bernardo Martinez-Miguel, Margarita Matias-Florentino, Maria Guadalupe de Jesus Mireles-Rivera, Gloria Maria Molina-Salinas, Hector Montoya-Fuentes, Jose Esteban Munoz-Medina, Jose de Jesus Nunez-Contreras, Alicia Ocana-Mondragon, Luis Alberto Ochoa-Carrera, Hector Esteban Paz-Juarez, Francisco Pulido, Helen Haydee Fernanda Ramirez-Plascencia, Angel Gustavo Salas-Lais, Jorge Ivan Salinal-Nevarez, Alejandro Sanchez-Flores, Clara Esperanza Santacruz-Tinoco, Maria Guadalupe Santiago-Mauricio, Nelly Selem-Mojica, Blanca Taboada, Gloria Vazquez"
hCoV-19/Seychelles/SS10824/2022,EPI_ISL_15585781,Seychelles Public Health Laboratory,"KEMRI-Wellcome Trust Research Programme,Kilifi","Githinji G., Ochola I., Agoti C., Mohamed K.S., de Laurent Z., Mburu M.W., Morobe J., Ndwiga L. Makori T., Ongera E., Lambisia A. Nokes D J., Brigitte Pool, Jude Gedeon, Meggy Louange, Leon Biscornet"
hCoV-19/France/ARA-HMN-22032080494/2022,EPI_ISL_12624263,UNILIANS BIOGROUP Décines,"Department of Virology, Henri Mondor University Hospital, Assistance Publique Hôpitaux de Paris, Université Paris-Est Créteil, INSERM U955","Christophe Rodriguez, Slim Fourati, Vanessa Demontant, Guillaume Gricourt, Melissa N'Debi, Alexandre Soulier, Elisabeth Trawinski, Jean-Michel Pawlotsky"
hCoV-19/Brazil/SP-FIOCRUZ-21617/2022,EPI_ISL_15729296,"Universidade Federal de São Paulo, Departamento de Medicina, Disciplina de Doenças Infecciosas e Parasitárias. Laboratório de Virologia","Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ","Paola Resende, Luciana Appolinario, Fernando Motta, Elisa Cavalcante Pereira, Ighor Arantes, Alice Sampaio Rocha, Bruna Mendonça da Silva, Jéssica Graça Macedo de Carvalho, Larissa Macedo Pinto, Victor Guimaraes, Ana Helena Perosa, Gabriela Rodrigues Barbosa, Nancy Bellei e Marilda Siqueira on behalf of the Fiocruz COVID-19 Genomic Surveillance Network"
hCoV-19/Algeria/05_23/2022,EPI_ISL_17182689,"National Influenza Centres (NIC), Viral Respiratory Unit","National Influenza Centres (NIC), Viral Respiratory Unit","Baya Hedjal, Sarah Belkalem, Mohamed Amine Beloufa, Salima Bouzeghoub, Aicha Bensalem, Fawzi Derrar"
hCoV-19/Zambia/ZAM-20-88-71113/2023,EPI_ISL_17211275,Tropical Diseases Research center,Tropical Diseases Research center,"Kabengele keith Siame, Justin Chileshe, Andrew Chongwe, Lombe Kampamba"
hCoV-19/Nicaragua/CNDR-94928/2021,EPI_ISL_17065461,HOSPITAL REGIONAL CESAR AMADOR MOLINA,"CNDR, Departamento de Virología","Angel Balmaseda, Cristhiam Cerpas, Gerald Vasquez, Hanny Moreira, Cesar Narvaez, Sonia Arguello, Jose Soto, Aubree Gordon, Josefina Coloma, Carlos Saenz, Eva Harris"
hCoV-19/Saudi Arabia/KAUST34/2022,EPI_ISL_15826825,King Faisal Specialist Hospital & Research Center,Pathogen Genomics Lab King Abdullah University of Science and Technology (KAUST),"Sabir A Adoub, Rohit Satyam, Ghadeer Albishi, Tobias Mourier, Danna Briyit Trejos Vidal, Muhammad Shuaib, Arnab Pain, Ashraf Dada"
hCoV-19/Georgia/Tb-sNGS6548/2022,EPI_ISL_16200722,Kutaisi Public Health and Safe Environment Center,"Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.","Giorgi Tomashvili, Giorgi Gogoladze, Meri Pantsulaia, Gvantsa Brachveli, Ana Papkiauri, Salome Javashvili, Gvantsa Chanturia, Ann Machablishvili, Paata Imnadze"
hCoV-19/Liechtenstein/FL-Risch-1108R14633/2022,EPI_ISL_15802402,Dr. Risch Ostschweiz AG,Dr Risch Laboratory,"Nadia Wohlwend, Faina Wehrli, Dominique Fabien Hilti, Sinem Kas, Martin Risch, Thomas Bodmer, Lorenz Risch"
hCoV-19/American Samoa/AS-H2319332/2022,EPI_ISL_16632468,American Samoa DOH Clinical Laboratory Tafuna Family Health Center,"State Laboratories Division, Hawaii State Department of Health","Pamela O'Brien, Drew Kuwazaki, Ayana Garnet, Samantha Cotter, Cheyenne Barela, Cheryl-lynn Daquip, Mark Nagata, Samantha Sruba, Jeffrey Au, Briana Ofilas, Remedios Gose, Daniel Strange, Edward Desmond"
hCoV-19/Ecuador/GENSBIO-INSPI-101432/2023,EPI_ISL_16609239,"Laboratorio de Influenza y Otros Virus Respiratorios, INSPI-CZ9","Centro de Referencia Nacional de Genomica, Secuenciacion y Bioinformatica GENSBIO, INSPI-CZ9","Andres Carrazco-Montalvo*, Damaris Alarcon-Vallejo, Andres Herrera-Yela, Diana Gutierrez-Pallo, Natali Arguello, Paul Beltran, Ruth Gomez, Byron Fuertes"
hCoV-19/Bonaire/BQ-RIVM-125214/2023,EPI_ISL_16760324,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),"Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Lynn Aarts, Sanne Bos, Jil Kocken, Jordy de Bakker, Afke Vogelzang, Zarif MansoerAziem Elahi, Floor Fontein, Trung Bui, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Ivo van Walle, Chantal Reusken, on behalf of the national COVID-19 response team"
hCoV-19/Algeria/03_23/2022,EPI_ISL_17182688,"National Influenza Centres (NIC), Viral Respiratory Unit","National Influenza Centres (NIC), Viral Respiratory Unit","Baya Hedjal, Sarah Belkalem, Mohamed Amine Beloufa, Salima Bouzeghoub, Aicha Bensalem, Fawzi Derrar"
hCoV-19/Brazil/SC-FIOCRUZ-21625/2022,EPI_ISL_15729292,Laboratorio Central de Saude Publica do Estado de Santa Catarina (LACEN/SC),"Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ","Paola Resende, Luciana Appolinario, Fernando Motta, Elisa Cavalcante Pereira, Ighor Arantes, Alice Sampaio Rocha, Bruna Mendonça da Silva, Jéssica Graça Macedo de Carvalho, Larissa Macedo Pinto, Victor Guimaraes, Darcita Buerger Rovaris, Sandra Bianchini Fernandes, Marilda Siqueira on behalf of the Fiocruz COVID-19 Genomic Surveillance Network"
hCoV-19/Dominican Republic/2078130-LNSPDD/2022,EPI_ISL_15435685,Laboratorio Nacional de Salud Pública Dr. Defilló,Laboratorio Nacional de Salud Pública Dr. Defilló,"Isaac Miguel Sánchez, Carlos Vergara Castillo, Francisco Cuevas, Edwin Féliz, Anny Peña, Pedro Martinez, Yeny E. Lara Perez, Robinson Agramonte"
hCoV-19/Algeria/44799/2022,EPI_ISL_17182685,"National Influenza Centres (NIC), Viral Respiratory Unit","National Influenza Centres (NIC), Viral Respiratory Unit","Baya Hedjal, Sarah Belkalem, Mohamed Amine Beloufa, Salima Bouzeghoub, Aicha Bensalem, Fawzi Derrar"
hCoV-19/Bosnia and Herzegovina/AGCOB2637/2022,EPI_ISL_13804569,"General Hospital ""Abdulah Nakas""",Alea Genetic Centre,"Pecar D, Karup S, Konjhodzic R"
hCoV-19/Bulgaria/21BG-EU_000037_Pl1/2021,EPI_ISL_1233476,National Center for Infectious and Parasitic Diseases (NCIPD),National Center for Infectious and Parasitic Diseases (NCIPD),Alexiev et al
hCoV-19/USA/AL-ASC-210782318/2022,EPI_ISL_16072326,Aegis Sciences Corporation,Aegis Sciences Corporation,"Cyndi Clark, PhD; Alec Vest; Holly Houdeshell; Erin Arnold; Vikramsinha Ghorpade, MS; Ola Kvalvaag; Scott Folley; Rob Case; Shaun Westlund; Patrick Campbell; Matthew Hardison, PhD, FACMG, TC-NRCC, CCRP"
hCoV-19/Mexico/CHH_IBT_IMSS_01046/2023,EPI_ISL_16877407,Centro de Investigación Biomédica del Noreste (CIBIN),Instituto de Biotecnología de la UNAM,"Julio Elías Alvarado-Yaah, Carlos F. Arias, Eduardo Becerril-Vargas, David Alejandro Cabrera-Gaytán, Guillermo Corona Armenta, Cristóbal Cháidez-Quiróz, Hermilo Domínguez-Zarate, Julissa Enciso-Ibarra, Gloria Espinosa-Ayala, Daniel Fregoso-Rueda, Alejandra García-Gasca, Rodrigo García-López, Bruno Gómez-Gil, Jean Pierre González, Irvin González-López, Ricardo Grande, Alfredo Herrera-Estrella, Carla Ivón Herrera-Nájera, Beatriz Jiménez-Moraila, Daniel Lira-Morales, Brenda Irasema Maldonado-Meza, María Guadalupe Márquez-Rosales, Julio César Martínez-Álvarez, Bernardo Martínez-Miguel, Gabriela Bibiana Martínez-Morales, Célida Martínez-Rodríguez, Fidencio Mejía-Nepomuceno, María Guadalupe de Jesús Mireles-Rivera, Gloria María Molina-Salinas, Héctor Montoya-Fuentes, Mario Mújica-Sánchez, José Esteban Muñoz-Medina, José de Jesús Nuñez-Contreras, Ilse Patricia Salinas-Peralta, Bruno Tonatiuh Rivas-Santiago, Mauricio Rosales-Rivera, Jorge Salas-Hernández, Ángel Gustavo Salas-Lais, Alejandro Sánchez-Flores, Clara Esperanza Santacruz-Tinoco, Nelly Sélem-Mojica, Blanca Taboada, Gloria Vázquez, Joel Armando Vázquez-Pérez."
hCoV-19/Portugal/PT42814/2022,EPI_ISL_15305162,CHEDV,Instituto Nacional de Saude Doutor Ricardo Jorge (INSA),Borges et al
hCoV-19/Guangdong/IVDC-607/2022,EPI_ISL_12030372,Guangdong Provincial Center for Disease Control and Prevention,"National Institute for Viral Disease Control and Prevention, China CDC","Baisheng Li, Ruhan A, Qianfang Guo, Yenan Feng, Yao Hu, Hanri Zeng, Zhonghua Zheng, Chang Zhang, Fangzhu OuYang, Lijun Liang, Jing Xu, Shen Huang, Jiajun Liu,Zhixiao Chen, Jianxiang Yu"
hCoV-19/Mauritius/70273/2022,EPI_ISL_16742910,"Central Health Laboratory, Ministry of Health and Wellness , Mauritius","Central Health Laboratory, Ministry of Health and Wellness , Mauritius","Ubheeram J, Ramuth M, Mathur H, Sujeewon C, Gopaul N, Luckhun A, Bahadoor BS, Sonoo J."
hCoV-19/Norway/31970/2022,EPI_ISL_15538526,"Department of Medical Microbiology - section Molde, Molde Hospital","Norwegian Institute of Public Health, Department of Virology","Kathrine Stene-Johansen, Kamilla Heddeland Instefjord, Hilde Elshaug, Garcia Llorente Ignacio, Jon Bråte, Engebretsen Serina Beate, Pedersen Benedikte Nevjen, Line Victoria Moen, Debech Nadia, Atiya R Ali, Marie Paulsen Madsen, Rasmus Riis Kopperud, Hilde Vollan, Karoline Bragstad, Olav Hungnes"
hCoV-19/USA/OH-CDC-QDX42300922/2022,EPI_ISL_15483306,Quest Diagnostics Incorporated,"Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery","Dakota Howard, Dhwani Batra, Peter Cook, Jason Caravas, Benjamin Rambo-Martin, Scott Sammons, Yvette Unoarumhi, Matthew Schmerer, Kristine Lacek, Tymeckia Kendall, Victoria Caban Figueroa, Shatavia Morrison, Christopher Gulvick, Erisa Sula, S. Rosenthal, A. Gerasimova, R. Kagan, B. Anderson, M. Hua, Y. Liu, L. Bernstein, K. Livingston, A. Perez, I. Shlyakhter, R. Rolando, R. Owen, P. Tanpaiboon, F. Lacbawan, Clinton Paden, Duncan MacCannell"
hCoV-19/Panama/M266332-GMI/2022,EPI_ISL_16018875,Gorgas Memorial Institute of Health Studies,Gorgas Memorial Institute of Health Studies,"Claudia Gonzalez, Leyda Abrego, Danilo Franco, Brechla Moreno, Oris Chavarria, Jessica Gondola, Ambar Moreno, Celestino Aguilar, Alexander A Martinez"
hCoV-19/USA/CO-CDPHE-2103700573/2022,EPI_ISL_15585334,Colorado Department of Public Health and Environment,Colorado Department of Public Health and Environment,"Laura Bankers, Molly C. Hetherington-Rauth, Diana Ir, Alexandria Rossheim, Michael Martin, Mandy Waters, Arianna Smith, Haikel N. Bogale, Shannon R. Matzinger, Emily A. Travanty"
hCoV-19/Peru/HUV-INS-30726/2022,EPI_ISL_15621915,Laboratorio de Referencia Nacional de Virus Inmunoprevenibles. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.,Laboratorio de Referencia Nacional de Virus Inmunoprevenibles. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.,"Carlos Padilla Rojas, Veronica Hurtado Vela, Iris Silva Molina, Luis Barcena Flores, Wendy Lizarraga Olivares, Alicia Nuñez Llanos, Steve Acedo Lazo, Victor Jimenez Vasquez, Kelly Izarra Rojas, Princesa Medrano Alhuay, Luren Sevilla Castañeda, Estela Huaman Angeles, Lilian Huarca Balbin, Maria Villar Saavedra, Olga Torres Gonzales, Omar Caceres Rey, Marco Galarza Perez, Henri Bailon Calderon, Nancy Rojas Serrano, Priscila Lope Pari, Lely Solari Zerpa, Joseph Huayra Niquen, Gloria Arotinco Garayar."
hCoV-19/Italy/CAM-90390364027_IZSM_COLLI_TIGEM/2022,EPI_ISL_15801519,COTUGNO,"Ospedale Cotugno, AO Dei Colli",Claudia Tiberio
hCoV-19/Italy/SIC-CQRC-4664803/2023,EPI_ISL_17258355,Laboratorio Centro Controllo Qualità e Rischio Chimico (CQRC),CQRC QUALITY CONTROL CHEMICAL BIOLOGICAL RISK AOOR Villa Sofia Cervello Palermo,"Di Gaudio F., Brunacci G., Contino F."
hCoV-19/Colombia/TOL-INS-VG-17087/2022,EPI_ISL_14187198,Gencore - Universidad de los Andes,Gencore - Universidad de los Andes,"Luisa Sacristan, David González, Paola Betancourt, Felipe Baez, Stephanie Nustez, Gabriela Ariza, Mariana Restrepo, Carolina Valencia, Marcela Guevara, Silvia Restrepo, Marcela Mercado"
hCoV-19/Ecuador/NIC-INSPI-434415/2023,EPI_ISL_16803597,INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS,INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS,"Alfredo Bruno, Michelle Páez, Jimmy Garcés, Maritza Olmedo, Karla Villegas, Diego Morales, Rubén Armas"
hCoV-19/New Zealand/21CV2805/2021,EPI_ISL_6828245,LabPLUS,Institute of Environmental Science and Research (ESR),"Sarah Cockerton, Clare Gebbie, Dhanisha Patel, Rachel Boyle, SallyAnn Harbison, Olivia Stroeven, Xiaoyun Ren, Matt Storey, Nikki Freed, Muhammad Faisal, Jing Wang, Hermes Perez, Anja Werno, Antje van der Linden, Arlo Upton, Chris Mansell, David Hammer, Dragana Drinkovic, Gary McAuliffe, Hana Sofia Andersson, James Ussher, Jill Sherwood, Josh Freeman, Julia Howard, Juliet Elvy, Mary DeAlmeida, Matt Blakiston, Matthew Rogers, Max Bloomfield, Michael Addidle, Michelle Balm, Sally Roberts, Sarah Jefferies, Sharmini Muttaiyah, Susan Morpeth, Susan Taylor, Timothy Blackmore, Vani Sathyendran, Veronica Playle, Virginia Hope, Erasmus Smit, Lauren Jelly, Olin Silander, Joep de Ligt"
hCoV-19/Lithuania/LTU000_NMRVI_105022/2021,EPI_ISL_2334812,Nacionalinis maisto ir veterinarijos rizikos vertinimo institutas,National Public Health Surveillance Laboratory,"Lukas Zemaitis, Migle Gabrielaite, Jelena Razmuk, Svajune Muralyte, Ana Steponkiene, Lukas Vasionis, Danas Baksa"
hCoV-19/Iran/NIC-10De-18/2022,EPI_ISL_16463588,National Influenza Center,National Influenza Center,"A Nejati, J Yavarian, K Sadeghi, NZ Shafiei Jandaghi, V Salimi, Adel Abedi, Nastaran Ghavami, Sevrin Zadheidar, and T Mokhtari Azad"
hCoV-19/Algeria/161/2023,EPI_ISL_17182694,"National Influenza Centres (NIC), Viral Respiratory Unit","National Influenza Centres (NIC), Viral Respiratory Unit","Baya Hedjal, Sarah Belkalem, Mohamed Amine Beloufa, Salima Bouzeghoub, Aicha Bensalem, Fawzi Derrar"
hCoV-19/Algeria/12_23/2022,EPI_ISL_17182692,"National Influenza Centres (NIC), Viral Respiratory Unit","National Influenza Centres (NIC), Viral Respiratory Unit","Baya Hedjal, Sarah Belkalem, Mohamed Amine Beloufa, Salima Bouzeghoub, Aicha Bensalem, Fawzi Derrar"
hCoV-19/North Macedonia/IPH-MKD-5660/2022,EPI_ISL_16006888,"Laboratory of Virology - Institute of Public Health Skopje, Macedonia","Laboratory of Virology - Institute of Public Health Skopje, Macedonia","Teodora Buzharova, Golubinka Boshevska, Elizabeta Jancheska"
hCoV-19/Algeria/410/2023,EPI_ISL_17182699,"National Influenza Centres (NIC), Viral Respiratory Unit","National Influenza Centres (NIC), Viral Respiratory Unit","Baya Hedjal, Sarah Belkalem, Mohamed Amine Beloufa, Salima Bouzeghoub, Aicha Bensalem, Fawzi Derrar"
hCoV-19/Aruba/AW-RIVM-126436/2023,EPI_ISL_17112748,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),"Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Lynn Aarts, Sanne Bos, Jil Kocken, Jordy de Bakker, Afke Vogelzang, Zarif MansoerAziem Elahi, Floor Fontein, Trung Bui, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Ivo van Walle, Chantal Reusken, on behalf of the national COVID-19 response team"
hCoV-19/Algeria/276/2023,EPI_ISL_17182698,"National Influenza Centres (NIC), Viral Respiratory Unit","National Influenza Centres (NIC), Viral Respiratory Unit","Baya Hedjal, Sarah Belkalem, Mohamed Amine Beloufa, Salima Bouzeghoub, Aicha Bensalem, Fawzi Derrar"
hCoV-19/Curacao/CW-RIVM-126412/2023,EPI_ISL_17112749,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),"Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Lynn Aarts, Sanne Bos, Jil Kocken, Jordy de Bakker, Afke Vogelzang, Zarif MansoerAziem Elahi, Floor Fontein, Trung Bui, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Ivo van Walle, Chantal Reusken, on behalf of the national COVID-19 response team"
hCoV-19/Pakistan/NIH-B120-S20/2023,EPI_ISL_17156327,"Department of Virology, National Institute of Health, Islamabad, Pakistan","Department of Virology, National Institute of Health, Islamabad, Pakistan","Massab Umair, Syed Adnan Haider, Muhammad Ammar, Zunera Jamal, Muhammad Salman, Aamer Ikram"
hCoV-19/Ecuador/NIC-INSPI-433954/2022,EPI_ISL_16578844,INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS,INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS,"Alfredo Bruno, Michelle Paez, Jimmy Garces, Maritza Olmedo, Karla Villegas, Diego Morales, Ruben Armas"
hCoV-19/Australia/ACT10610/2023,EPI_ISL_17032100,ACT Pathology,"Schwessinger Lab, Research School of Biology, The Australian National University","Austin Bird, Robyn Hall, Karina Kennedy, Rachel Leonard, Lydia Murphy, Rene Riedelbauch, Benjamin Schwessinger"
hCoV-19/Ecuador/NIC-INSPI-8051020/2022,EPI_ISL_15898948,INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS-INTERLAB,INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS,"Alfredo Bruno, Michelle Páez, Jimmy Garcés, Maritza Olmedo, Stephania Almeida, Ana Márquez, Daniela Bravo, David Fernández, Paula Gavilanes, Juan Carlos Fernández Cadena, Diego Morales, Rubén Armas"
hCoV-19/Bonaire/BQ-RIVM-125943/2023,EPI_ISL_16908255,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),"Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Lynn Aarts, Sanne Bos, Jil Kocken, Jordy de Bakker, Afke Vogelzang, Zarif MansoerAziem Elahi, Floor Fontein, Trung Bui, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Ivo van Walle, Chantal Reusken, on behalf of the national COVID-19 response team"
